DATE,OPEN,HIGH,LOW,CLOSE
22-06-1988,0.40625,0.409598,0.401786,0.407366
23-06-1988,0.408482,0.408482,0.401786,0.401786
24-06-1988,0.401786,0.40625,0.397321,0.401786
27-06-1988,0.397321,0.405134,0.397321,0.397321
28-06-1988,0.399554,0.412946,0.397321,0.412946
29-06-1988,0.410714,0.417411,0.408482,0.414063
30-06-1988,0.412946,0.417411,0.410714,0.412946
01-07-1988,0.415179,0.418527,0.412946,0.415179
05-07-1988,0.415179,0.421875,0.41183,0.421875
06-07-1988,0.420759,0.424107,0.41183,0.415179
07-07-1988,0.415179,0.415179,0.404018,0.409598
08-07-1988,0.40625,0.410714,0.401786,0.404018
11-07-1988,0.40625,0.40625,0.40067,0.402902
12-07-1988,0.401786,0.404018,0.397321,0.399554
13-07-1988,0.399554,0.401786,0.395089,0.399554
14-07-1988,0.399554,0.404018,0.397321,0.401786
15-07-1988,0.401786,0.40625,0.399554,0.401786
18-07-1988,0.405134,0.410714,0.404018,0.40625
19-07-1988,0.401786,0.40625,0.391741,0.399554
20-07-1988,0.399554,0.401786,0.392857,0.395089
21-07-1988,0.390625,0.392857,0.381696,0.383929
22-07-1988,0.383929,0.386161,0.379464,0.379464
25-07-1988,0.381696,0.386161,0.377232,0.381696
26-07-1988,0.381696,0.386161,0.377232,0.381696
27-07-1988,0.381696,0.386161,0.379464,0.381696
28-07-1988,0.379464,0.383929,0.377232,0.38058
29-07-1988,0.386161,0.397321,0.383929,0.396205
01-08-1988,0.397321,0.408482,0.395089,0.401786
02-08-1988,0.401786,0.40625,0.397321,0.398438
03-08-1988,0.399554,0.399554,0.392857,0.399554
04-08-1988,0.399554,0.404018,0.397321,0.398438
05-08-1988,0.397321,0.401786,0.395089,0.395089
08-08-1988,0.397321,0.399554,0.392857,0.392857
09-08-1988,0.392857,0.395089,0.383929,0.388393
10-08-1988,0.390625,0.390625,0.372768,0.373884
11-08-1988,0.377232,0.386161,0.375,0.386161
12-08-1988,0.383929,0.383929,0.377232,0.379464
15-08-1988,0.377232,0.377232,0.361607,0.368304
16-08-1988,0.366071,0.386161,0.363839,0.379464
17-08-1988,0.379464,0.381696,0.372768,0.375
18-08-1988,0.375,0.383929,0.372768,0.379464
19-08-1988,0.379464,0.381696,0.361607,0.363839
22-08-1988,0.359375,0.363839,0.352679,0.354911
23-08-1988,0.354911,0.359375,0.350446,0.352679
24-08-1988,0.354911,0.363839,0.352679,0.363839
25-08-1988,0.359375,0.361607,0.350446,0.358259
26-08-1988,0.357143,0.363839,0.357143,0.359375
29-08-1988,0.363839,0.366071,0.361607,0.364955
30-08-1988,0.363839,0.366071,0.357143,0.364955
31-08-1988,0.366071,0.367188,0.352679,0.356027
01-09-1988,0.354911,0.354911,0.34375,0.347098
02-09-1988,0.352679,0.357143,0.348214,0.354911
06-09-1988,0.357143,0.357143,0.345982,0.347098
07-09-1988,0.348214,0.352679,0.337054,0.341518
08-09-1988,0.341518,0.352679,0.337054,0.345982
09-09-1988,0.345982,0.366071,0.337054,0.361607
12-09-1988,0.366071,0.372768,0.358259,0.366071
13-09-1988,0.359375,0.368304,0.357143,0.366071
